city,state,place,pct_non_white
Lincoln,Alabama,43120,31.29770992366412
Woodland town,Alabama,83400,15.000000000000002
Fairhope,Alabama,25240,10.316368638239338
Point Clear,Alabama,61488,51.20663650075414
Robertsdale,Alabama,65208,9.222926000308973
Garden City town,Alabama,29032,1.0771992818671472
Georgiana town,Alabama,29560,72.25913621262458
Brookwood town,Alabama,09808,11.313697989714822
Walnut Grove town,Alabama,79728,6.842737094837936
Dothan,Alabama,21184,38.181577164403336
Kinsey town,Alabama,40072,54.88858572078217
Theodore,Alabama,75768,22.134512156615095
Eldridge town,Alabama,23344,10.457516339869278
Jasper,Alabama,38416,20.316506703787816
Kansas town,Alabama,39280,2.4489795918367308
Fultondale,Alabama,28552,32.574354504848024
Anchorage municipality,Alaska,03000,37.40320443155919
Point Baker,Alaska,61190,
St. Paul,Alaska,66470,88.35443037974684
Allakaket,Alaska,01860,82.62910798122066
Ridgeway,Alaska,65345,14.69282013323464
Hooper Bay,Alaska,33470,94.56617002629272
King Cove,Alaska,39410,88.92763731473408
Happy Valley,Alaska,31710,10.8843537414966
Slana,Alaska,70930,
Deltana,Alaska,18675,9.999999999999998
Two Rivers,Alaska,79830,11.764705882352944
Nenana,Alaska,53050,46.04105571847508
Selawik,Alaska,68230,98.35858585858585
Sleetmute,Alaska,71090,91.48936170212765
Birch Creek,Alaska,07620,100.0
Seldovia Village,Alaska,68370,43.125
Game Creek,Alaska,27700,
Diomede,Alaska,19060,100.0
St. Michael,Alaska,66360,99.06323185011709
Stebbins,Alaska,72960,93.4959349593496
Akhiok,Alaska,00650,96.61016949152543
Old Harbor,Alaska,57340,78.78787878787878
Chevak,Alaska,13230,88.62102217936355
Emmonak,Alaska,22910,99.06432748538012
Nelchina,Alaska,52915,3.4482758620689613
Chenega,Alaska,12970,69.11764705882352
Copper Center,Alaska,17300,67.34693877551021
Mendeltna,Alaska,48200,0.0
Silver Springs,Alaska,70320,0.0
Alakanuk,Alaska,01200,100.0
Anderson,Alaska,03220,16.860465116279066
Anaktuvuk Pass,Alaska,02080,87.61904761904762
Covenant Life,Alaska,17670,40.54054054054054
Oxford,Arkansas,52880,2.2488755622188883
Hickory Ridge,Arkansas,31900,6.896551724137934
Higginson town,Arkansas,32140,18.36734693877551
Griffithville town,Arkansas,28990,0.0
Lepanto,Arkansas,39370,20.438356164383563
Oppelo,Arkansas,52430,3.7369207772795177
Shannon Hills,Arkansas,63470,40.63070106854313
Vandervoort town,Arkansas,71510,9.090909090909093
Walnut Ridge,Arkansas,72890,4.040800313848569
Rondo town,Arkansas,60590,72.43589743589743
Moss Landing,California,49488,0.0
Belvedere,California,05164,2.6241799437675684
Fairfax town,California,23168,11.982053312219588
Cassel,California,11782,0.0
Cedarville,California,12328,4.125412541254125
Centerville,California,12412,29.287598944591032
Chalfant,California,12594,17.313432835820898
Cherokee,California,12818,0.0
Clay,California,13854,22.240943555181126
Clear Creek,California,13910,22.38095238095238
Cherokee Strip,California,12860,9.345794392523366
Clarksburg,California,13784,19.956140350877195
Clearlake Riviera,California,13985,32.49363867684478
Cleone,California,14008,26.136363636363637
Clipper Mills,California,14148,11.343283582089548
Coarsegold,California,14288,5.299684542586746
Coffee Creek,California,14406,12.690355329949243
Cohasset,California,14442,0.0
Cold Springs CDP (El Dorado County),California,14450,1.3745704467353903
Cold Springs CDP (Tuolumne County),California,14454,0.0
Coleville,California,14484,27.80172413793104
College City,California,14554,0.0
Coloma,California,14764,2.576112412177989
Comptche,California,15030,9.090909090909093
Coronita,California,16420,37.48152527342595
Courtland,California,16714,33.5195530726257
Collierville,California,14708,18.902891030392887
Cowan,California,16762,12.048192771084343
Cressey,California,17078,20.29411764705882
Creston,California,17232,33.333333333333336
Crowley Lake,California,17372,15.691736304549675
Crows Landing,California,17428,12.786885245901637
Cuyama,California,17727,0.0
Daphnedale Park,California,17995,20.574162679425832
Davenport,California,18086,20.65217391304348
Delft Colony,California,18450,25.454545454545453
Descanso,California,18940,4.655612244897956
Desert Center,California,18982,6.944444444444442
Desert Edge,California,18986,5.6944862910515255
East Palo Alto,California,20956,64.5794613591052
Redwood City,California,60102,41.37717989368647
San Bruno,California,65028,55.68553721885663
Lafayette,California,39122,18.745485649116134
Fish Camp,California,24218,0.0
El Sobrante CDP (Contra Costa County),California,22454,47.011144883485315
Floriston,California,24526,
Flournoy,California,24568,0.0
Forbestown,California,24750,47.21549636803874
Forest Ranch,California,24918,10.492227979274615
Fort Bidwell,California,25030,52.60416666666667
Fort Irwin,California,25114,39.03970826580226
Fort Washington,California,25300,0.0
Franklin CDP (Merced County),California,25488,44.30653773993362
Franklin CDP (Sacramento County),California,25506,0.0
Freeport,California,25590,0.0
French Valley,California,26067,38.54841388473675
Fruitridge Pocket,California,27130,64.06147809025506
Fuller Acres,California,27190,29.604519774011294
Fulton,California,28014,56.48854961832062
Garberville,California,28154,2.0810514786418377
Garden Farms,California,28210,0.0
Garey,California,29070,1.5706806282722474
Garnet,California,29112,29.385052034058656
Gasquet,California,29154,17.51824817518248
Tiburon town,California,78666,14.87314085739283
Prunedale,California,58870,41.3145077975107
Grover Beach,California,31393,19.933505725895827
Hornbrook,California,34694,6.16113744075829
Tennant,California,78176,0.0
Yuba City,California,86972,35.687654098262065
Los Altos Hills town,California,43294,36.14344503233392
Monte Sereno,California,48956,25.869502730669737
Saratoga,California,70280,52.542593738801834
Sunnyvale,California,77000,60.178700006545796
Cotati,California,16560,14.86450228065468
Forestville,California,24960,12.204201010369587
Graton,California,30812,20.592906299629433
Occidental,California,53266,9.113001215066829
Corning,California,16322,16.060606060606062
Gridley,California,31260,28.202846975088967
Tehama,California,78106,17.04781704781705
Casa de Oro-Mount Helix,California,11691,21.531003837608566
San Diego,California,66000,34.88808312872054
Bradley,California,07974,4.424778761061942
